comuna,anio,casos
9.0,2010,61
9.0,2011,50
9.0,2012,40
9.0,2013,30
9.0,2014,20
9.0,2015,9
9.0,2016,16
9.0,2017,13
9.0,2018,7
9.0,2019,11
9.0,2020,14
9.0,2021,11
9.0,2022,18
9.0,2023,16
90,2003,14
90,2004,42
90,2005,28
90,2006,18
90,2007,32
90,2008,2
90,2009,20
90,2010,13
90,2011,28
90,2012,15
90,2013,20
90,2014,66
90,2015,71
90,2016,149
90,2017,208
90,2018,273
90,2019,405
90,2020,318
90,2021,395
90,2022,505
90,2023,45
90.0,2003,10
90.0,2004,1
90.0,2005,7
90.0,2006,1
90.0,2008,1
90.0,2009,7
90.0,2010,9
90.0,2011,21
90.0,2012,18
90.0,2013,11
90.0,2014,9
90.0,2015,3
90.0,2016,3
90.0,2017,2
90.0,2019,7
90.0,2020,4
90.0,2021,9
90.0,2022,5
90.0,2023,5
SIN DATO,2003,195
SIN DATO,2004,148
SIN DATO,2005,116
SIN DATO,2006,478
SIN DATO,2007,105
SIN DATO,2008,324
SIN DATO,2009,233
SIN DATO,2010,154
SIN DATO,2011,742
SIN DATO,2012,75
SIN DATO,2013,96
SIN DATO,2014,3
SIN DATO,2017,4
SIN DATO,2018,5
SIN DATO,2019,1
SIN DATO,2020,8
SIN DATO,2021,6
SIN DATO,2022,123
SIN DATO,2023,5625
