seguridad.nombre_barrio,promedio_robos,casos_totales,nivel_geo,seguridad.codigo_barrio,seguridad.codigo_comuna,zona_clave,municipio_x,promedio_robos_municipio,casos_municipio,departamento,sector,comuna,municipio_y,promedio_arriendo_apartamento,rango_apartamento,promedio_arriendo_casa,rango_casa,promedio_arriendo_local,rango_local,indice_riesgo,nivel_riesgo,alerta
LOS CERROS EL VERGEL,2.0,4.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
LOS COLORES,2.0285714285714285,71.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.0476655477570949,🥈 Plata,🟠 Alerta Media
LOS CONQUISTADORES,2.8793103448275863,167.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.0676554460029674,🧱 Cobre,🚨 Alerta Roja
LOS MANGOS,1.7,17.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.039945071711931644,🥇 Oro,🟢 Segura
LOS NARANJOS,1.4545454545454546,16.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03417760146475435,🥇 Oro,🟢 Segura
LOS PINOS,2.0,52.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
MANILA,3.6862745098039214,188.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.08661676449646077,🧱 Cobre,🚨 Alerta Roja
MANRIQUE CENTRAL NO1,1.9428571428571428,68.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04565151052792188,🥈 Plata,🟠 Alerta Media
MANRIQUE CENTRAL NO2,1.826086956521739,42.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04290774966499051,🥇 Oro,🟢 Segura
MANRIQUE ORIENTAL,1.9545454545454546,43.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.045926151968263655,🥈 Plata,🟠 Alerta Media
MARIA CANOCARAMBOLAS,1.0,2.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
MAZO,1.0,1.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
MEDIA LUNA,1.5,9.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03524565151052792,🥇 Oro,🟢 Segura
METROPOLITANO,2.3333333333333335,7.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.054826569016376774,🥉 Bronce,🚨 Alerta Roja
MIRADOR DEL DOCE,1.0,1.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
MIRAFLORES,1.5833333333333333,19.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.0372037432611128,🥇 Oro,🟢 Segura
MIRANDA,1.85,37.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04346963686298444,🥇 Oro,🟢 Segura
